election_id,country_name,election_date,sum_weighted_eu_anti_pro,Non-Communication,Non-Conformity,RO,RF
629,Sweden,2006-09-17,7.051864183381089,84,41,42,20
638,Belgium,2009-06-07,7.721390909090909,15,40,25,15
646,Lithuania,2008-10-12,8.65337659574468,7,8,5,1
651,Greece,2009-10-04,8.104602333333334,122,72,78,26
656,Belgium,2004-06-13,7.50295,137,83,79,39
659,Slovenia,2004-06-13,8.730385714285713,0,0,0,0
662,Luxembourg,2009-06-07,0.0,0,0,0,0
672,Greece,2004-06-13,7.630779166666668,197,116,183,95
676,Romania,2007-11-25,9.022628571428571,27,13,10,1
688,Hungary,2010-04-25,6.45930103626943,171,35,43,9
690,Latvia,2010-10-02,7.465602,21,5,3,0
698,Ireland,2011-02-25,7.089995180722892,41,18,19,6
699,Estonia,2011-03-06,7.667185148514852,40,18,20,4
700,Finland,2011-04-17,6.179804,85,19,31,9
701,Cyprus,2011-05-22,0.0,97,18,46,10
702,Portugal,2011-06-05,7.753839130434782,90,34,43,9
722,Denmark,2011-09-15,6.414687150837988,48,15,13,1
765,Latvia,2011-09-17,7.505347,31,18,5,1
766,Poland,2011-10-09,7.703513913043478,49,35,51,27
777,Spain,2011-11-20,8.073977142857142,50,42,35,5
778,Slovenia,2011-12-04,8.049493333333333,60,17,27,7
781,Slovakia,2012-03-10,7.535849333333333,25,22,8,3
782,France,2012-06-17,7.390183708838821,33,42,22,3
783,Greece,2012-05-06,6.687807666666666,1,1,2,0
784,Greece,2012-06-17,7.332847333333333,37,32,26,7
785,Netherlands,2012-09-12,5.721558666666667,16,11,11,5
786,Lithuania,2012-10-14,8.214971631205675,22,8,6,0
787,Romania,2012-12-09,8.010620873786408,35,12,19,2
789,Italy,2013-02-25,5.588877301587302,40,32,23,5
790,Malta,2013-03-09,0.0,18,3,1,1
791,Croatia,2013-04-14,7.082166666666667,13,0,0,0
792,Croatia,2011-12-04,6.945347019867549,0,0,0,0
793,Croatia,2007-11-25,7.453704575163399,0,0,0,0
795,Croatia,2003-11-23,7.062360526315789,0,0,0,0
799,Bulgaria,2013-05-12,5.538254583333334,25,10,0,3
800,Germany,2013-09-22,7.654904754358162,14,13,5,2
802,Austria,2013-09-29,6.933233333333334,22,5,6,3
803,Luxembourg,2013-10-20,0.0,0,0,0,0
805,Czech Republic,2013-10-25,7.140724,0,0,0,0
814,Hungary,2014-04-06,6.511810050251257,1,1,3,0
816,Belgium,2014-05-25,7.726266666666667,148,40,51,11
817,Slovenia,2014-07-13,7.677342222222222,96,22,42,9
818,Austria,2014-05-25,6.841805555555555,85,27,29,12
819,Cyprus,2014-05-25,0.0,64,15,18,0
820,Czech Republic,2014-05-24,6.887052380952381,0,0,0,0
821,Denmark,2014-05-25,4.953907692307692,20,7,3,2
822,Estonia,2014-05-25,6.536033333333333,6,2,8,0
823,Finland,2014-05-25,6.456092307692308,9,4,7,1
824,France,2014-05-24,4.841055405405405,74,34,31,6
825,Germany,2014-05-25,6.941565625,77,38,39,17
826,Greece,2014-05-25,6.295957142857143,24,11,9,2
827,Hungary,2014-05-25,6.381142857142858,79,39,28,7
828,Sweden,2014-09-14,6.169913180515759,72,21,20,4
830,Bulgaria,2014-05-25,6.358729411764705,22,1,3,0
831,Latvia,2014-10-04,7.416757,68,19,27,0
832,Belgium,2014-05-25,7.697290476190476,148,40,51,11
833,Ireland,2014-05-23,5.683827272727273,29,9,9,2
834,Italy,2014-05-25,5.02832602739726,50,34,43,8
835,Luxembourg,2014-05-25,0.0,0,0,0,0
836,Malta,2014-05-25,0.0,53,8,9,1
837,Poland,2014-05-25,7.023870588235294,26,12,25,7
838,Portugal,2014-05-25,7.589138095238095,29,14,12,3
839,Spain,2014-05-25,7.0147,26,35,25,7
840,Bulgaria,2014-10-05,5.55121375,60,14,28,3
841,Croatia,2014-05-25,7.656309090909091,10,16,1,0
842,Lithuania,2014-05-25,8.359227272727273,46,11,16,1
843,Sweden,2014-05-25,5.254725,4,0,0,0
844,Slovenia,2014-05-25,8.3412625,1,0,0,0
845,United Kingdom,2014-05-22,3.436271232876712,16,8,13,3
846,Netherlands,2014-05-25,5.568723076923077,38,12,17,7
847,Slovakia,2014-05-25,7.4901,26,17,4,0
848,Latvia,2014-05-24,7.2193625,4,0,2,0
849,Romania,2014-05-25,8.724890625,80,18,29,7
851,Greece,2015-01-25,6.925582333333334,20,4,6,4
853,Estonia,2015-03-01,7.373864356435644,54,11,18,2
855,Finland,2015-04-19,6.004970500000001,87,13,34,4
856,United Kingdom,2015-05-07,4.696017538461538,50,10,14,2
976,Denmark,2015-06-18,5.826787709497207,62,20,12,1
992,Greece,2015-09-20,6.989496666666667,94,32,41,8
993,Portugal,2015-10-04,7.959268260869565,107,34,52,8
996,Poland,2015-10-25,6.537285434782609,79,34,33,11
998,Spain,2015-12-20,7.260243142857143,23,3,5,0
1001,Croatia,2015-11-08,7.1493139072847685,15,6,12,0
1002,Ireland,2016-02-26,6.28259746835443,70,24,35,4
1003,Slovakia,2016-03-06,6.433902,39,20,17,2
1004,Cyprus,2016-05-22,0.0,109,21,46,2
1005,Spain,2016-06-26,7.2070357142857135,49,37,47,15
1007,Croatia,2016-09-11,7.143880794701987,48,17,21,10
1009,Lithuania,2016-10-09,7.191321985815602,32,12,9,0
1010,Malta,2017-06-03,0.0,23,12,3,1
1011,Bulgaria,2017-03-26,5.140251666666666,43,16,16,4
1012,Netherlands,2017-03-15,5.190295333333333,18,17,8,1
1013,United Kingdom,2017-06-08,4.762218615384615,38,15,10,3
1014,France,2017-06-18,7.747772270363952,28,13,7,2
1015,Romania,2016-12-11,8.443452279635258,48,26,30,7
1016,Germany,2017-09-24,6.947666149506347,20,10,8,3
1019,Austria,2017-10-15,6.709435519125683,25,10,5,2
1020,Czech Republic,2017-10-21,5.990447499999999,0,0,0,0
1023,Hungary,2018-04-08,6.315805025125629,13,15,5,4
1024,Italy,2018-03-04,3.2381444444444445,8,19,6,5
1025,Slovenia,2018-06-03,7.37432,19,8,5,5
1041,Sweden,2018-09-09,5.938326361031519,10,3,1,0
1042,Latvia,2018-10-06,5.645719,12,3,4,0
1043,Luxembourg,2018-10-14,0.0,0,0,0,0
1044,Estonia,2019-03-03,7.188806930693071,1,0,0,0
1045,Finland,2019-04-14,6.1381655,1,0,0,0
1046,Spain,2019-04-28,7.323052857142857,1,0,0,0
1048,Belgium,2019-05-26,6.862705333333333,0,0,0,0
1049,Denmark,2019-05-26,6.325776923076923,0,0,0,0
1050,Finland,2019-05-26,6.567184615384615,0,0,0,0
1051,United Kingdom,2019-05-23,5.20156301369863,15,6,4,0
1052,Netherlands,2019-05-23,5.929365384615385,20,12,9,4
1053,Italy,2019-05-26,3.950250684931507,0,0,0,0
1054,France,2019-05-26,5.140013513513513,0,0,0,0
1055,Germany,2019-05-26,6.687141666666666,33,33,23,5
1056,Estonia,2019-05-26,7.302316666666666,0,0,0,0
1057,Czech Republic,2019-05-25,5.6046,0,0,0,0
1058,Belgium,2019-05-26,6.992842857142858,0,0,0,0
1059,Bulgaria,2019-05-26,6.399758823529411,39,38,26,2
1060,Greece,2019-05-26,6.965514285714286,0,5,1,0
1061,Ireland,2019-05-24,5.5015,19,9,17,2
1062,Croatia,2019-05-26,6.777036363636364,15,24,10,0
1063,Latvia,2019-05-25,7.2986,0,0,0,0
1064,Lithuania,2019-05-26,7.552890909090909,9,14,8,0
1065,Luxembourg,2019-05-26,0.0,0,0,0,0
1066,Malta,2019-05-25,0.0,0,0,0,0
1067,Poland,2019-05-26,7.313035294117648,7,14,11,1
1068,Portugal,2019-05-26,7.548514285714286,8,8,3,0
1069,Romania,2019-05-26,10.08145,33,31,21,1
1070,Slovakia,2019-05-25,7.1468384615384615,8,13,9,2
1071,Slovenia,2019-05-26,8.42515,0,0,0,0
1072,Spain,2019-05-26,7.551738888888888,3,14,11,4
1073,Sweden,2019-05-26,5.898499999999999,0,0,0,0
1074,Austria,2019-05-26,7.34315,5,5,6,3
1075,Cyprus,2019-05-26,0.0,57,25,28,3
1076,Hungary,2019-05-26,6.921980952380952,0,0,0,0
1077,Denmark,2019-06-05,6.424686592178771,0,0,0,0
1078,Greece,2019-07-07,7.833918000000001,0,0,0,0
1080,Austria,2019-09-29,7.277079781420765,0,0,0,0
1081,Portugal,2019-10-06,8.004191304347826,0,0,0,0
1082,Poland,2019-10-13,6.839250869565218,0,0,0,0
1085,Spain,2019-11-10,6.769599142857143,0,0,0,0
1086,United Kingdom,2019-12-12,4.454434,0,0,0,0
1088,Ireland,2020-02-08,5.60373625,0,0,0,0
1089,Slovakia,2020-02-29,6.578990666666667,0,0,0,0
1091,Lithuania,2020-10-11,8.052735460992908,0,0,0,0
1093,Romania,2020-12-06,7.8729266666666655,0,0,0,0
1094,Croatia,2020-07-05,6.901623178807947,0,0,0,0
1095,Cyprus,2021-05-30,0.0,0,0,0,0
1096,Germany,2021-09-26,7.154367663043479,0,0,0,0
1097,Netherlands,2021-03-17,5.1359113333333335,0,0,0,0
1099,Czech Republic,2021-10-09,6.55338,0,0,0,0
1101,Bulgaria,2021-04-04,6.552964583333333,0,0,0,0
1102,Bulgaria,2021-07-11,6.837031666666666,16,7,6,1
1106,Bulgaria,2021-11-14,4.32305,0,0,0,0
