election_id,country_name,election_date,sum_weighted_eu_anti_pro
787,Romania,2012-12-09,8.010620873786408
789,Italy,2013-02-25,5.588877301587302
790,Malta,2013-03-09,0.0
791,Croatia,2013-04-14,7.082166666666667
792,Croatia,2011-12-04,6.945347019867549
793,Croatia,2007-11-25,7.453704575163399
795,Croatia,2003-11-23,7.062360526315789
799,Bulgaria,2013-05-12,5.538254583333334
800,Germany,2013-09-22,7.654904754358162
802,Austria,2013-09-29,6.933233333333334
803,Luxembourg,2013-10-20,0.0
805,Czech Republic,2013-10-25,7.140724
814,Hungary,2014-04-06,6.511810050251257
816,Belgium,2014-05-25,7.726266666666667
817,Slovenia,2014-07-13,7.677342222222222
818,Austria,2014-05-25,6.841805555555555
819,Cyprus,2014-05-25,0.0
820,Czech Republic,2014-05-24,6.887052380952381
821,Denmark,2014-05-25,4.953907692307692
822,Estonia,2014-05-25,6.536033333333333
823,Finland,2014-05-25,6.456092307692308
824,France,2014-05-24,4.841055405405405
825,Germany,2014-05-25,6.941565625
826,Greece,2014-05-25,6.295957142857143
827,Hungary,2014-05-25,6.381142857142858
828,Sweden,2014-09-14,6.169913180515759
830,Bulgaria,2014-05-25,6.358729411764705
831,Latvia,2014-10-04,7.4167570000000005
832,Belgium,2014-05-25,7.697290476190476
833,Ireland,2014-05-23,5.683827272727273
834,Italy,2014-05-25,5.02832602739726
835,Luxembourg,2014-05-25,0.0
836,Malta,2014-05-25,0.0
837,Poland,2014-05-25,7.023870588235294
838,Portugal,2014-05-25,7.589138095238095
839,Spain,2014-05-25,7.0147
840,Bulgaria,2014-10-05,5.55121375
841,Croatia,2014-05-25,7.656309090909091
842,Lithuania,2014-05-25,8.359227272727273
843,Sweden,2014-05-25,5.254725
844,Slovenia,2014-05-25,8.3412625
845,United Kingdom,2014-05-22,3.436271232876712
846,Netherlands,2014-05-25,5.568723076923077
847,Slovakia,2014-05-25,7.4901
848,Latvia,2014-05-24,7.2193625
849,Romania,2014-05-25,8.724890625
851,Greece,2015-01-25,6.925582333333334
853,Estonia,2015-03-01,7.373864356435644
855,Finland,2015-04-19,6.004970500000001
856,United Kingdom,2015-05-07,4.696017538461538
976,Denmark,2015-06-18,5.826787709497207
992,Greece,2015-09-20,6.989496666666667
993,Portugal,2015-10-04,7.959268260869565
996,Poland,2015-10-25,6.537285434782609
998,Spain,2015-12-20,7.260243142857143
1001,Croatia,2015-11-08,7.1493139072847685
1002,Ireland,2016-02-26,6.28259746835443
1003,Slovakia,2016-03-06,6.433902
1004,Cyprus,2016-05-22,0.0
1005,Spain,2016-06-26,7.2070357142857135
1007,Croatia,2016-09-11,7.143880794701987
1009,Lithuania,2016-10-09,7.191321985815602
1010,Malta,2017-06-03,0.0
1011,Bulgaria,2017-03-26,5.140251666666666
1012,Netherlands,2017-03-15,5.190295333333333
1013,United Kingdom,2017-06-08,4.762218615384615
1014,France,2017-06-18,7.747772270363952
1015,Romania,2016-12-11,8.443452279635258
1016,Germany,2017-09-24,6.947666149506347
1019,Austria,2017-10-15,6.709435519125683
1020,Czech Republic,2017-10-21,5.990447499999999
1023,Hungary,2018-04-08,6.315805025125629
1024,Italy,2018-03-04,3.2381444444444445
1025,Slovenia,2018-06-03,7.37432
1041,Sweden,2018-09-09,5.9383263610315185
1042,Latvia,2018-10-06,5.645719
1043,Luxembourg,2018-10-14,0.0
1044,Estonia,2019-03-03,7.188806930693071
1045,Finland,2019-04-14,6.1381655
1046,Spain,2019-04-28,7.323052857142857
1048,Belgium,2019-05-26,6.862705333333333
1049,Denmark,2019-05-26,6.325776923076923
1050,Finland,2019-05-26,6.567184615384615
1051,United Kingdom,2019-05-23,5.20156301369863
1052,Netherlands,2019-05-23,5.929365384615385
1053,Italy,2019-05-26,3.950250684931507
1054,France,2019-05-26,5.140013513513513
1055,Germany,2019-05-26,6.687141666666666
1056,Estonia,2019-05-26,7.302316666666666
1057,Czech Republic,2019-05-25,5.6046
1058,Belgium,2019-05-26,6.992842857142858
1059,Bulgaria,2019-05-26,6.399758823529411
1060,Greece,2019-05-26,6.965514285714286
1061,Ireland,2019-05-24,5.5015
1062,Croatia,2019-05-26,6.7770363636363635
1063,Latvia,2019-05-25,7.2986
1064,Lithuania,2019-05-26,7.552890909090909
1065,Luxembourg,2019-05-26,0.0
1066,Malta,2019-05-25,0.0
1067,Poland,2019-05-26,7.313035294117648
1068,Portugal,2019-05-26,7.548514285714286
1069,Romania,2019-05-26,10.08145
1070,Slovakia,2019-05-25,7.1468384615384615
1071,Slovenia,2019-05-26,8.42515
1072,Spain,2019-05-26,7.551738888888888
1073,Sweden,2019-05-26,5.898499999999999
1074,Austria,2019-05-26,7.3431500000000005
1075,Cyprus,2019-05-26,0.0
1076,Hungary,2019-05-26,6.921980952380952
1077,Denmark,2019-06-05,6.424686592178771
1078,Greece,2019-07-07,7.833918000000001
1080,Austria,2019-09-29,7.277079781420765
1081,Portugal,2019-10-06,8.004191304347826
1082,Poland,2019-10-13,6.839250869565218
1085,Spain,2019-11-10,6.769599142857143
1086,United Kingdom,2019-12-12,4.454434
1088,Ireland,2020-02-08,5.60373625
1089,Slovakia,2020-02-29,6.578990666666667
1091,Lithuania,2020-10-11,8.052735460992908
1093,Romania,2020-12-06,7.8729266666666655
1094,Croatia,2020-07-05,6.901623178807947
1095,Cyprus,2021-05-30,0.0
1096,Germany,2021-09-26,7.1543676630434785
1097,Netherlands,2021-03-17,5.1359113333333335
1099,Czech Republic,2021-10-09,6.55338
1101,Bulgaria,2021-04-04,6.552964583333333
1102,Bulgaria,2021-07-11,6.837031666666666
1106,Bulgaria,2021-11-14,4.32305
