,case_number,member_state,directorate_general,LFN_258,RO_258,RF_258,date_LFN_258,date_RO_258,date_RF_258,LFN_close,year,election_id,election_date,LFN_election,incorrect,workload,daysbeforeED,out_eu_cont,out_left_cont,influence,support,distance,effectiveness,expenditures,pilot,length,commission,addressee,scope,bureaucracy_quality
12103,20030159,Italy,Internal Market and Services,1,0,0,2003-01-23,,,7/9/03,2003,107,4/9/06,0,0,-0.684471159,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12104,20030160,Italy,Health and Consumers,1,0,0,2003-01-23,,,4/2/03,2003,107,4/9/06,0,0,-0.652522884,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12105,20030161,Italy,Health and Consumers,1,0,0,2003-01-23,,,7/23/03,2003,107,4/9/06,0,0,-0.876160811,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12107,20030164,Italy,Health and Consumers,1,0,0,2003-01-23,,,7/23/03,2003,107,4/9/06,0,0,-0.876160811,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12110,20030167,Italy,Health and Consumers,1,1,0,2003-01-23,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.972005637,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12101,20030157,Italy,Environment,1,1,1,2003-01-23,7/9/03,12/16/03,7/9/03,2003,107,4/9/06,0,0,-1.131747013,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12109,20030166,Italy,Health and Consumers,1,0,0,2003-01-23,,,7/9/03,2003,107,4/9/06,0,0,-0.684471159,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
12108,20030165,Italy,Health and Consumers,1,0,0,2003-01-23,,,7/9/03,2003,107,4/9/06,0,0,-0.684471159,1172,3.0054,3.8459,2.34213704,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11964,20022291,Italy,Taxation and Customs Union,1,1,0,2003-02-05,10/13/04,,10/13/04,2003,107,4/9/06,0,1,-1.195643564,1159,3.0054,3.8459,,,,,,,,,,,-1.03732397
11753,20030364,Italy,Home Affairs,1,1,1,2003-03-07,10/15/03,7/7/04,10/15/03,2003,107,4/9/06,0,0,-1.099798738,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11762,20030379,Italy,Mobility and Transport,1,0,0,2003-03-07,,,7/9/03,2003,107,4/9/06,0,0,-0.333040131,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11761,20030377,Italy,Health and Consumers,1,1,0,2003-03-07,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.716419435,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11760,20030376,Italy,Health and Consumers,1,1,0,2003-03-07,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.716419435,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11759,20030375,Italy,Health and Consumers,1,1,0,2003-03-07,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.716419435,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11758,20030374,Italy,Health and Consumers,1,1,0,2003-03-07,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.716419435,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11757,20030373,Italy,Health and Consumers,1,0,0,2003-03-07,,,7/23/03,2003,107,4/9/06,0,0,-0.556678058,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11756,20030372,Italy,Health and Consumers,1,0,0,2003-03-07,,,7/23/03,2003,107,4/9/06,0,0,-0.556678058,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11755,20030370,Italy,Health and Consumers,1,1,0,2003-03-07,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.716419435,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11754,20030367,Italy,Health and Consumers,1,1,1,2003-03-07,7/9/03,12/16/03,7/9/03,2003,107,4/9/06,0,0,-1.035902187,1129,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11591,20025005,Italy,Internal Market and Services,1,0,0,2003-04-02,,,3/30/04,2003,107,4/9/06,0,1,-0.556678058,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11592,20030481,Italy,Mobility and Transport,1,1,0,2003-04-02,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.077453929,1103,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.382747095,0.0,0.0,0.0,-1.03732397
11589,20024916,Italy,Environment,1,1,1,2003-04-02,7/9/03,3/30/04,7/9/03,2003,107,4/9/06,0,1,-0.81226426,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11588,20024867,Italy,"Employment, Social Affairs and Equal Opportunities",1,1,0,2003-04-02,10/15/03,,10/15/03,2003,107,4/9/06,0,1,-1.099798738,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11587,20024263,Italy,Internal Market and Services,1,0,0,2003-04-02,,,12/14/04,2003,107,4/9/06,0,1,-0.74836771,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11586,20024007,Italy,Enterprise and Industry,1,1,1,2003-04-02,12/16/03,7/7/04,12/16/03,2003,107,4/9/06,0,1,-1.195643564,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11585,20022297,Italy,Taxation and Customs Union,1,0,0,2003-04-02,,,5/7/04,2003,107,4/9/06,0,1,-0.652522884,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11584,20015125,Italy,Environment,1,1,1,2003-04-02,12/16/03,12/14/04,12/16/03,2003,107,4/9/06,0,1,-0.876160811,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11582,20005148,Italy,Environment,1,0,0,2003-04-02,,,12/16/03,2003,107,4/9/06,0,1,-0.20524703,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11596,20032015,Italy,Environment,1,1,1,2003-04-02,7/9/03,12/16/03,7/9/03,2003,107,4/9/06,0,1,-0.940057362,1103,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.110299018,0.0,0.0,0.0,-1.03732397
11581,20005094,Italy,Environment,1,0,0,2003-04-02,,,7/7/04,2003,107,4/9/06,0,1,-0.684471159,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11580,20004711,Italy,Environment,1,1,0,2003-04-02,12/14/04,,12/14/04,2003,107,4/9/06,0,1,-1.099798738,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11597,20032052,Italy,Environment,1,0,0,2003-04-02,,,12/16/03,2003,107,4/9/06,0,1,-0.20524703,1103,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11593,20030482,Italy,Mobility and Transport,1,1,0,2003-04-02,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.077453929,1103,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.464003363,0.0,0.0,0.0,-1.03732397
11594,20030483,Italy,Mobility and Transport,1,1,0,2003-04-02,7/9/03,,7/9/03,2003,107,4/9/06,0,0,-0.077453929,1103,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11595,20032014,Italy,Environment,1,1,1,2003-04-02,7/9/03,12/14/04,7/9/03,2003,107,4/9/06,0,1,-0.940057362,1103,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.828278975,0.0,0.0,2.0,-1.03732397
11583,20012234,Italy,Environment,1,1,1,2003-04-02,7/7/04,12/13/05,7/7/04,2003,107,4/9/06,0,1,-1.035902187,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11579,20004216,Italy,Internal Market and Services,1,0,0,2003-04-02,,,3/30/04,2003,107,4/9/06,0,1,-0.556678058,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11590,20025002,Italy,Taxation and Customs Union,1,0,0,2003-04-02,,,2/28/08,2003,107,4/9/06,1,1,-1.163695288,1103,3.0054,3.8459,,,,,,,,,,,-1.03732397
11540,20022230,Italy,Internal Market and Services,1,0,0,2003-04-08,,,12/16/03,2003,107,4/9/06,0,1,-0.173298755,1097,3.0054,3.8459,,,,,,,,,,,-1.03732397
15294,20025058,Italy,Enterprise and Industry,1,0,0,2003-04-30,,,9/18/08,2003,111,4/13/08,1,1,-1.163695288,1810,5.0946,-7.1459,,,,,,,,,,,-1.03732397
11299,20032035,Italy,Internal Market and Services,1,0,0,2003-04-30,,,12/16/03,2003,107,4/9/06,0,1,-0.077453929,1075,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11298,20025058,Italy,Enterprise and Industry,1,0,0,2003-04-30,,,9/18/08,2003,107,4/9/06,1,1,-1.163695288,1075,3.0054,3.8459,,,,,,,,,,,-1.03732397
11296,20014591,Italy,"Employment, Social Affairs and Equal Opportunities",1,1,0,2003-04-30,10/12/05,,10/12/05,2003,107,4/9/06,0,1,-1.003953912,1075,3.0054,3.8459,,,,,,,,,,,-1.03732397
11214,20005088,Italy,"Justice, Fundamental Rights and Citizenship",1,1,0,2003-05-13,3/16/05,,3/16/05,2003,107,4/9/06,0,1,-0.972005637,1062,3.0054,3.8459,,,,,,,,,,,-1.03732397
11179,20030570,Italy,Health and Consumers,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11182,20030574,Italy,Enterprise and Industry,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11181,20030573,Italy,Mobility and Transport,1,1,1,2003-05-16,10/15/03,3/30/04,10/15/03,2003,107,4/9/06,0,0,-0.588626333,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.843365929,0.0,0.0,0.0,-1.03732397
11180,20030571,Italy,Taxation and Customs Union,1,1,1,2003-05-16,12/16/03,12/14/04,12/16/03,2003,107,4/9/06,0,0,-0.74836771,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11178,20030569,Italy,Health and Consumers,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,7.427738841,1.0,0.0,1.0,-1.03732397
11171,20030561,Italy,Enterprise and Industry,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11172,20030562,Italy,Enterprise and Industry,1,0,0,2003-05-16,,,10/15/03,2003,107,4/9/06,0,0,0.465666751,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11173,20030563,Italy,Internal Market and Services,1,0,0,2003-05-16,,,10/15/03,2003,107,4/9/06,0,0,0.465666751,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11174,20030564,Italy,Health and Consumers,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.757783656,0.0,0.0,0.0,-1.03732397
11175,20030565,Italy,Health and Consumers,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.704668113,0.0,0.0,1.0,-1.03732397
11176,20030567,Italy,Health and Consumers,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
11177,20030568,Italy,Health and Consumers,1,0,0,2003-05-16,,,12/16/03,2003,107,4/9/06,0,0,0.273977099,1059,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.649448771,0.0,0.0,0.0,-1.03732397
10837,20034492,Italy,Environment,1,1,0,2003-07-09,12/16/03,,12/16/03,2003,107,4/9/06,0,1,-0.460833232,1005,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10836,20032101,Italy,Environment,1,0,0,2003-07-09,,,12/16/03,2003,107,4/9/06,0,1,0.433718475,1005,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10834,20032059,Italy,Taxation and Customs Union,1,0,0,2003-07-09,,,7/5/05,2003,107,4/9/06,0,1,-0.652522884,1005,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10835,20032074,Italy,Health and Consumers,1,0,0,2003-07-09,,,12/16/03,2003,107,4/9/06,0,1,0.433718475,1005,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.432523462,0.0,0.0,5.0,-1.03732397
10833,20025202,Italy,Internal Market and Services,1,0,0,2003-07-09,,,12/16/03,2003,107,4/9/06,0,1,0.433718475,1005,3.0054,3.8459,,,,,,,,,,,-1.03732397
10784,20030776,Italy,"Employment, Social Affairs and Equal Opportunities",1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10785,20030777,Italy,Enterprise and Industry,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10786,20030778,Italy,Enterprise and Industry,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10788,20030780,Italy,Enterprise and Industry,1,1,0,2003-07-16,12/16/03,,12/16/03,2003,107,4/9/06,0,0,-0.173298755,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,7.171656823,0.0,0.0,0.0,-1.03732397
10789,20030782,Italy,Internal Market and Services,1,1,0,2003-07-16,2/3/04,,2/3/04,2003,107,4/9/06,0,0,-0.333040131,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10787,20030779,Italy,Enterprise and Industry,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.39731774,0.0,0.0,0.0,-1.03732397
10791,20030784,Italy,Health and Consumers,1,1,0,2003-07-16,12/16/03,,12/16/03,2003,107,4/9/06,0,0,-0.333040131,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.811646349,0.0,0.0,0.0,-1.03732397
10790,20030783,Italy,Health and Consumers,1,1,1,2003-07-16,12/16/03,7/7/04,12/16/03,2003,107,4/9/06,0,0,-0.524729783,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10796,20030789,Italy,Health and Consumers,1,1,0,2003-07-16,12/16/03,,12/16/03,2003,107,4/9/06,0,0,-0.333040131,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10793,20030786,Italy,Health and Consumers,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,9.723343623,0.0,0.0,2.0,-1.03732397
10794,20030787,Italy,Health and Consumers,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10792,20030785,Italy,Health and Consumers,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10795,20030788,Italy,Health and Consumers,1,0,0,2003-07-16,,,12/16/03,2003,107,4/9/06,0,0,0.849046054,998,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10725,20034014,Italy,Internal Market and Services,1,0,0,2003-07-23,,,7/7/04,2003,107,4/9/06,0,1,-0.301091856,991,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10710,20030859,Italy,Mobility and Transport,1,1,0,2003-07-24,11/11/03,,11/11/03,2003,107,4/9/06,0,0,0.912942605,990,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10709,20030858,Italy,Mobility and Transport,1,0,0,2003-07-24,,,11/11/03,2003,107,4/9/06,0,0,0.94489088,990,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10135,20030958,Italy,Agriculture and Rural Development,1,1,0,2003-10-06,7/7/04,,7/7/04,2003,107,4/9/06,0,0,-0.428884957,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.292798858,0.0,0.0,2.0,-1.03732397
10136,20030959,Italy,Agriculture and Rural Development,1,0,0,2003-10-06,,,7/7/04,2003,107,4/9/06,0,0,0.018390897,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,8.176110342,0.0,0.0,2.0,-1.03732397
10137,20030960,Italy,Agriculture and Rural Development,1,0,0,2003-10-06,,,10/13/04,2003,107,4/9/06,0,0,-0.396936682,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10139,20030962,Italy,Agriculture and Rural Development,1,0,0,2003-10-06,,,7/7/04,2003,107,4/9/06,0,0,0.018390897,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10142,20030966,Italy,Health and Consumers,1,0,0,2003-10-06,,,12/16/03,2003,107,4/9/06,0,0,1.296321908,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10141,20030965,Italy,Health and Consumers,1,1,0,2003-10-06,7/7/04,,7/7/04,2003,107,4/9/06,0,0,-0.428884957,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10143,20030967,Italy,Health and Consumers,1,1,0,2003-10-06,7/7/04,,7/7/04,2003,107,4/9/06,0,0,-0.428884957,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10145,20030969,Italy,Health and Consumers,1,0,0,2003-10-06,,,7/7/04,2003,107,4/9/06,0,0,0.018390897,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10146,20030970,Italy,Taxation and Customs Union,1,0,0,2003-10-06,,,12/16/03,2003,107,4/9/06,0,0,1.296321908,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10140,20030963,Italy,Enterprise and Industry,1,0,0,2003-10-06,,,7/7/04,2003,107,4/9/06,0,0,0.018390897,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10144,20030968,Italy,Health and Consumers,1,0,0,2003-10-06,,,7/7/04,2003,107,4/9/06,0,0,0.018390897,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
10138,20030961,Italy,Agriculture and Rural Development,1,0,0,2003-10-06,,,7/7/04,2003,107,4/9/06,0,0,0.018390897,916,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
9986,20005152,Italy,Environment,1,1,1,2003-10-15,7/7/04,12/14/04,7/7/04,2003,107,4/9/06,0,1,-1.163695288,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9985,20004350,Italy,Environment,1,1,0,2003-10-15,7/7/04,,7/7/04,2003,107,4/9/06,0,1,-0.301091856,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9998,20034497,Italy,Environment,1,1,0,2003-10-15,7/7/04,,7/7/04,2003,107,4/9/06,0,1,-0.556678058,907,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
9997,20032182,Italy,Budget,1,1,1,2003-10-15,7/7/04,12/14/04,7/7/04,2003,107,4/9/06,0,1,-1.195643564,907,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
9995,20032119,Italy,Agriculture and Rural Development,1,0,0,2003-10-15,,,7/7/04,2003,107,4/9/06,0,1,0.465666751,907,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
9994,20025260,Italy,Internal Market and Services,1,1,1,2003-10-15,7/7/04,12/14/04,7/7/04,2003,107,4/9/06,0,1,-1.131747013,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9996,20032158,Italy,Internal Market and Services,1,1,1,2003-10-15,2/3/04,7/7/04,2/3/04,2003,107,4/9/06,0,1,-1.099798738,907,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
9992,20024522,Italy,"Communication Networks, Content and Technology",1,0,0,2003-10-15,,,12/12/06,2003,107,4/9/06,1,1,-0.780315985,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9991,20015129,Italy,Environment,1,0,0,2003-10-15,,,4/4/06,2003,107,4/9/06,0,1,-0.556678058,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9990,20014578,Italy,Internal Market and Services,1,0,0,2003-10-15,,,12/14/04,2003,107,4/9/06,0,1,-0.013557378,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9989,20014289,Italy,Environment,1,1,0,2003-10-15,10/13/04,,10/13/04,2003,107,4/9/06,0,1,-0.301091856,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9988,20014122,Italy,Environment,1,1,0,2003-10-15,7/7/04,,7/7/04,2003,107,4/9/06,0,1,-0.716419435,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9993,20024715,Italy,Internal Market and Services,1,0,0,2003-10-15,,,12/12/06,2003,107,4/9/06,1,1,-0.780315985,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9987,20012098,Italy,Environment,1,0,0,2003-10-15,,,12/14/04,2003,107,4/9/06,0,1,-0.013557378,907,3.0054,3.8459,,,,,,,,,,,-1.03732397
9780,20032172,Italy,Internal Market and Services,1,1,1,2003-11-11,7/7/04,3/16/05,7/7/04,2003,107,4/9/06,0,1,-0.396936682,880,3.0054,3.8459,2.346657041,1.085311693,0.47802683,-0.636358644,0.274860149,0.0,,,,,-1.03732397
9779,20025445,Italy,Mobility and Transport,1,1,0,2003-11-11,7/7/04,,7/7/04,2003,107,4/9/06,0,1,-0.237195305,880,3.0054,3.8459,,,,,,,,,,,-1.03732397
